id_veiculo,servico,timestamp_gps,posicao_veiculo_geo
B51612,GARAGEM,2023-02-14 00:10:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:10:21,POINT(-43.254 -22.92951)
B51612,GARAGEM,2023-02-14 00:10:31,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:10:51,POINT(-43.25401 -22.92952)
C44530,712,2023-02-14 00:10:59,POINT(-43.35648 -22.86027)
B51612,GARAGEM,2023-02-14 00:11:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:11:21,POINT(-43.25398 -22.92953)
B51612,GARAGEM,2023-02-14 00:11:31,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:11:51,POINT(-43.25398 -22.92953)
B51612,GARAGEM,2023-02-14 00:12:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:12:14,POINT(-43.25397 -22.92953)
B51612,GARAGEM,2023-02-14 00:12:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:13:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:13:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:14:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:14:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:15:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:15:31,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:16:01,POINT(-43.25398 -22.92955)
B51612,GARAGEM,2023-02-14 00:16:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:16:31,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:16:31,POINT(-43.25396 -22.92956)
A50002,301,2023-02-14 00:17:01,POINT(-43.25393 -22.92934)
B51612,GARAGEM,2023-02-14 00:17:01,POINT(-43.36782 -22.87651)
C50068,SP805,2023-02-14 00:17:07,POINT(-43.39537 -22.96022)
A50002,301,2023-02-14 00:17:31,POINT(-43.25397 -22.9292)
B51612,GARAGEM,2023-02-14 00:17:31,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:18:01,POINT(-43.25441 -22.92898)
B51612,GARAGEM,2023-02-14 00:18:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:18:31,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:18:31,POINT(-43.25438 -22.92898)
A50002,301,2023-02-14 00:19:01,POINT(-43.25437 -22.92897)
B51612,GARAGEM,2023-02-14 00:19:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:19:31,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:19:31,POINT(-43.25437 -22.92897)
B51612,GARAGEM,2023-02-14 00:20:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:20:01,POINT(-43.25437 -22.92898)
A50002,301,2023-02-14 00:20:31,POINT(-43.25437 -22.92898)
B51612,GARAGEM,2023-02-14 00:20:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:21:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:21:01,POINT(-43.25437 -22.92898)
A50002,301,2023-02-14 00:21:28,POINT(-43.25437 -22.92898)
B51612,GARAGEM,2023-02-14 00:21:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:22:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:22:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:23:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:23:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:24:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:24:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:25:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:25:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:26:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:26:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:27:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:27:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:28:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:28:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:29:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:29:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:30:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:30:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:31:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:31:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:32:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:32:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:33:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:33:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:34:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:34:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:35:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:35:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:36:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:36:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:37:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:37:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:38:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:38:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:39:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:39:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:40:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:40:31,POINT(-43.36782 -22.87651)
C44530,712,2023-02-14 00:40:59,POINT(-43.35649 -22.86029)
B51612,GARAGEM,2023-02-14 00:41:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:41:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:42:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:42:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:43:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:43:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:44:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:44:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:45:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:45:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:46:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:46:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:47:01,POINT(-43.36782 -22.87651)
C50068,302,2023-02-14 00:47:07,POINT(-43.39539 -22.96016)
B51612,GARAGEM,2023-02-14 00:47:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:48:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:48:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:49:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:49:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:50:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:50:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:51:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:51:28,POINT(-43.25437 -22.92898)
B51612,GARAGEM,2023-02-14 00:51:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:52:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:52:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:53:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:53:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:54:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:54:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:55:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:55:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:56:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:56:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:57:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:57:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:58:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:58:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:59:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:59:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:00:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:00:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:01:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:01:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:02:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:02:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:03:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:03:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:04:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:04:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:05:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:05:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:06:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:06:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:07:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:07:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:08:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:08:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:09:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:09:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:10:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:10:31,POINT(-43.36782 -22.87651)
C44530,712,2023-02-14 01:10:59,POINT(-43.35649 -22.86029)
B51612,GARAGEM,2023-02-14 01:11:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:11:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:12:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:12:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:13:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:13:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:14:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:14:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:15:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:15:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:16:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:16:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:17:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:17:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:18:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:18:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:19:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:19:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:20:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:20:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:21:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 01:21:28,POINT(-43.25437 -22.92898)
B51612,GARAGEM,2023-02-14 01:21:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:22:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:22:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:23:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:23:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:24:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:24:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:25:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:25:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:26:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:26:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:27:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:27:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:28:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:28:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:29:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:29:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:30:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:30:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:31:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:31:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:32:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:32:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:33:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:33:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:34:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:34:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:35:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:35:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:36:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:36:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:37:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:37:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:38:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:38:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:39:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:39:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:40:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:40:31,POINT(-43.36782 -22.87651)
C44530,712,2023-02-14 01:40:59,POINT(-43.35649 -22.86029)
B51612,GARAGEM,2023-02-14 01:41:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:41:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:42:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:42:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:43:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:43:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:44:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:44:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:45:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:45:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:46:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:46:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:47:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:47:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:48:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:48:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:49:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:49:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:50:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:50:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:51:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 01:51:28,POINT(-43.25437 -22.92898)
B51612,GARAGEM,2023-02-14 01:51:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:52:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:52:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:53:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:53:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:54:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:54:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:55:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:55:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:56:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:56:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:57:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:57:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:58:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:58:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:59:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 01:59:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:00:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:00:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:01:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:01:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:02:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:02:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:03:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:03:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:04:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:04:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:05:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:05:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:06:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:06:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:07:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:07:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:08:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:08:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:09:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:09:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:10:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:10:31,POINT(-43.36782 -22.87651)
C44530,712,2023-02-14 02:10:59,POINT(-43.35649 -22.86029)
B51612,GARAGEM,2023-02-14 02:11:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:11:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:12:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:12:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:13:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:13:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:14:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:14:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:15:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:15:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:16:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:16:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:17:01,POINT(-43.36782 -22.87651)
C50068,302,2023-02-14 02:17:07,POINT(-43.3954 -22.96016)
B51612,GARAGEM,2023-02-14 02:17:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:18:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:18:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:19:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:19:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:20:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:20:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:21:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 02:21:28,POINT(-43.25437 -22.92891)
B51612,GARAGEM,2023-02-14 02:21:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:22:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:22:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:23:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:23:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:24:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:24:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:25:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:25:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:26:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:26:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:27:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:27:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:28:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:28:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:29:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:29:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:30:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:30:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:31:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:31:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:32:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 02:32:31,POINT(-43.36782 -22.87651)
